0;As Branquelas;Comédia;2004-08-27;109;Wayans Brothers Entertainment;Keenen Ivory Wayans;trailers/trailer_as_branquelas.mp4
1;It - A Coisa;Terror;2017-09-07;135;Rideback;Andy Muschietti;trailers/trailer_it_a_coisa.mp4
2;Como Perder um Homem em 10 Dias;Comédia romântica;2003-01-27;116;Paramount Pictures;Donald Petrie;trailers/trailer_como_perder_um_homem_em_dez_dias.mp4
3;Velozes e Furiosos;Ação;2001-09-28;106;Universal Studios;Rob Cohen;trailers/trailer_velozes_e_furiosos.mp4
4;Um Sonho de Liberdade;Drama;1995-03-17;142;Castle Rock Entertainment;Frank Darabont;trailers/trailer_um_sonho_de_liberdade.mp4
5;Interestelar;Ficção científica;2014-11-06;169;Paramount Pictures;Christopher Nolan;trailers/trailer_interestelar.mp4
6;Shrek;Animação;2001-07-22;89;DreamWorks Animation;Dennis Dugan;trailers/trailer_shrek.mp4
